# clock_trace bin2csv rows=4971 seqEnd=4971 dropped=0
seq,uptimeMs,utcEpoch,ppsCount,residualMs,holdoverMs,freqPpm,tempC,tempCorrPpm,qualityMs,state,ppsFresh,timeValid,tempComp,satellites
61,45741095,1789878458,45669,0,0,-9.8040,31.80,0.000,14,1,1,1,1,17
62,45742095,1789878459,45670,0,0,-9.8182,30.80,0.000,14,1,1,1,1,17
63,45743095,1789878460,45671,0,0,-9.8545,31.80,0.000,14,1,1,1,1,17
64,45744095,1789878461,45672,0,0,-9.8586,30.80,0.000,14,1,1,1,1,17
65,45745095,1789878462,45673,0,0,-9.8619,31.80,0.000,14,1,1,1,1,17
66,45746095,1789878463,45674,0,0,-9.8395,31.80,0.000,14,1,1,1,1,17
67,45747095,1789878464,45675,0,0,-9.8216,31.80,0.000,14,1,1,1,1,16
68,45748095,1789878465,45676,0,0,-9.8323,31.80,0.000,14,1,1,1,1,16
69,45749095,1789878466,45677,0,0,-9.8408,31.80,0.000,14,1,1,1,1,15
70,45750095,1789878467,45678,0,0,-9.8477,31.80,0.000,14,1,1,1,1,15
71,45751094,1789878468,45679,0,0,-9.8281,30.80,0.000,14,1,1,1,1,16
72,45752095,1789878469,45680,0,0,-9.8125,31.80,0.000,14,1,1,1,1,16
73,45753095,1789878470,45681,0,0,-9.8000,30.80,0.000,14,1,1,1,1,16
74,45754094,1789878471,45682,0,0,-9.8150,30.80,0.000,14,1,1,1,1,16
75,45755094,1789878472,45683,0,0,-9.8270,31.80,0.000,14,1,1,1,1,16
76,45756095,1789878473,45684,0,0,-9.8366,31.80,0.000,14,1,1,1,1,16
77,45757094,1789878474,45685,0,0,-9.8193,30.80,0.000,14,1,1,1,1,16
78,45758095,1789878475,45686,0,0,-9.8054,30.80,0.000,14,1,1,1,1,16
79,45759094,1789878476,45687,0,0,-9.7693,30.80,0.000,14,1,1,1,1,16
80,45760094,1789878477,45688,0,0,-9.7905,30.80,0.000,14,1,1,1,1,16
81,45761094,1789878478,45689,0,0,-9.8074,30.80,0.000,14,1,1,1,1,16
82,45762094,1789878479,45690,0,0,-9.8209,30.80,0.000,14,1,1,1,1,16
83,45763094,1789878480,45691,0,0,-9.8067,30.80,0.000,14,1,1,1,1,16
84,45764094,1789878481,45692,0,0,-9.7954,31.80,0.000,14,1,1,1,1,16
85,45765094,1789878482,45693,0,0,-9.8113,30.80,0.000,14,1,1,1,1,16
86,45766094,1789878483,45694,0,0,-9.8240,30.80,0.000,14,1,1,1,1,17
87,45767094,1789878484,45695,0,0,-9.8842,31.80,0.000,14,1,1,1,1,17
88,45768094,1789878485,45696,0,0,-9.8574,30.80,0.000,14,1,1,1,1,17
89,45769094,1789878486,45697,0,0,-9.8359,30.80,0.000,14,1,1,1,1,17
90,45770094,1789878487,45698,0,0,-9.8187,30.80,0.000,14,1,1,1,1,17
91,45771094,1789878488,45699,0,0,-9.8300,30.80,0.000,14,1,1,1,1,16
92,45772094,1789878489,45700,0,0,-9.7640,31.80,0.000,14,1,1,1,1,16
93,45773094,1789878490,45701,0,0,-9.7640,30.80,-0.000,14,1,1,1,1,16
94,45774094,1789878491,45702,0,0,-9.7790,31.80,0.000,14,1,1,1,1,16
95,45775094,1789878492,45703,0,0,-9.7732,30.80,0.000,14,1,1,1,1,17
96,45776094,1789878493,45704,0,0,-9.7185,30.80,0.000,14,1,1,1,1,17
97,45777094,1789878494,45705,0,0,-9.7498,30.80,0.000,14,1,1,1,1,16
98,45778094,1789878495,45706,0,0,-9.7749,30.80,0.000,14,1,1,1,1,16
99,45779094,1789878496,45707,0,0,-9.7949,30.80,0.000,14,1,1,1,1,16
100,45780094,1789878497,45708,0,0,-9.8609,30.80,0.000,14,1,1,1,1,16
101,45781094,1789878498,45709,0,0,-9.8387,30.80,0.000,14,1,1,1,1,17
102,45782094,1789878499,45710,0,0,-9.8210,31.80,0.000,14,1,1,1,1,17
103,45783094,1789878500,45711,0,0,-9.8318,30.80,0.000,14,1,1,1,1,17
104,45784094,1789878501,45712,0,0,-9.9154,30.80,0.000,14,1,1,1,1,17
105,45785094,1789878502,45713,0,0,-9.9073,31.80,0.000,14,1,1,1,1,16
106,45786094,1789878503,45714,0,0,-9.9009,30.80,0.000,14,1,1,1,1,16
107,45787094,1789878504,45715,0,0,-9.7457,30.80,0.000,14,1,1,1,1,16
108,45788094,1789878505,45716,0,0,-9.7716,31.80,0.000,14,1,1,1,1,16
109,45789094,1789878506,45717,0,0,-9.7922,31.80,0.000,14,1,1,1,1,16
110,45790094,1789878507,45718,0,0,-9.8338,31.80,0.000,14,1,1,1,1,16
111,45791094,1789878508,45719,0,0,-9.8170,30.80,0.000,14,1,1,1,1,17
112,45792094,1789878509,45720,0,0,-9.8036,30.80,0.000,14,1,1,1,1,17
113,45793094,1789878510,45721,0,0,-9.7929,30.80,0.000,14,1,1,1,1,17
114,45794094,1789878511,45722,0,0,-9.7843,30.80,0.000,14,1,1,1,1,17
115,45795094,1789878512,45723,0,0,-9.9025,30.80,0.000,14,1,1,1,1,17
116,45796094,1789878513,45724,0,0,-9.8970,30.80,0.000,14,1,1,1,1,17
117,45797094,1789878514,45725,0,0,-9.8926,30.80,0.000,14,1,1,1,1,17
118,45798094,1789878515,45726,0,0,-9.8641,30.80,0.000,14,1,1,1,1,17
119,45799094,1789878516,45727,0,0,-9.8662,30.80,0.000,14,1,1,1,1,17
120,45800094,1789878517,45728,0,0,-9.8430,30.80,0.000,14,1,1,1,1,17
121,45801094,1789878518,45729,0,0,-9.8494,30.80,0.000,14,1,1,1,1,17
122,45802094,1789878519,45730,0,0,-9.8545,30.80,0.000,14,1,1,1,1,16
123,45803094,1789878520,45731,0,0,-9.8586,30.80,0.000,14,1,1,1,1,16
124,45804094,1789878521,45732,0,0,-9.8369,30.80,0.000,14,1,1,1,1,16
125,45805094,1789878522,45733,0,0,-9.8195,30.80,0.000,14,1,1,1,1,16
126,45806094,1789878523,45734,0,0,-9.8056,30.80,0.000,14,1,1,1,1,17
127,45807094,1789878524,45735,0,0,-9.8195,30.80,0.000,14,1,1,1,1,17
128,45808094,1789878525,45736,0,0,-9.8556,30.80,0.000,14,1,1,1,1,17
129,45809094,1789878526,45737,0,0,-9.8345,30.80,0.000,14,1,1,1,1,17
130,45810094,1789878527,45738,0,0,-9.8176,30.80,0.000,14,1,1,1,1,17
131,45811094,1789878528,45739,0,0,-9.8291,30.80,0.000,14,1,1,1,1,16
132,45812094,1789878529,45740,0,0,-9.8383,30.80,0.000,14,1,1,1,1,15
133,45813094,1789878530,45741,0,0,-9.8456,31.80,0.000,14,1,1,1,1,16
134,45814094,1789878531,45742,0,0,-9.8515,30.80,0.000,14,1,1,1,1,16
135,45815094,1789878532,45743,0,0,-9.8312,30.80,0.000,14,1,1,1,1,16
136,45816094,1789878533,45744,0,0,-9.8149,30.80,0.000,14,1,1,1,1,16
137,45817094,1789878534,45745,0,0,-9.8270,30.80,0.000,14,1,1,1,1,16
138,45818094,1789878535,45746,0,0,-9.8366,30.80,0.000,14,1,1,1,1,16
139,45819094,1789878536,45747,0,0,-9.8193,30.80,0.000,14,1,1,1,1,16
140,45820094,1789878537,45748,0,0,-9.7804,30.80,0.000,14,1,1,1,1,17
141,45821094,1789878538,45749,0,0,-9.7743,30.80,0.000,14,1,1,1,1,17
142,45822094,1789878539,45750,0,0,-9.7945,30.80,0.000,14,1,1,1,1,17
143,45823094,1789878540,45751,0,0,-9.7856,30.80,0.000,14,1,1,1,1,17
144,45824094,1789878541,45752,0,0,-9.7785,30.80,0.000,14,1,1,1,1,17
145,45825094,1789878542,45753,0,0,-9.7728,30.80,0.000,14,1,1,1,1,17
146,45826094,1789878543,45754,0,0,-9.7682,30.80,0.000,14,1,1,1,1,17
147,45827094,1789878544,45755,0,0,-9.7896,30.80,0.000,14,1,1,1,1,17
148,45828094,1789878545,45756,0,0,-9.8067,29.80,0.000,14,1,1,1,1,17
149,45829094,1789878546,45757,0,0,-9.7703,30.80,0.000,14,1,1,1,1,17
150,45830094,1789878547,45758,0,0,-9.7663,29.80,0.000,14,1,1,1,1,17
151,45831094,1789878548,45759,0,0,-9.7880,30.80,0.000,14,1,1,1,1,16
152,45832094,1789878549,45760,0,0,-9.7804,29.80,0.000,14,1,1,1,1,16
153,45833094,1789878550,45761,0,0,-9.7743,29.80,0.000,14,1,1,1,1,16
154,45834094,1789878551,45762,0,0,-9.7445,29.80,0.000,14,1,1,1,1,16
155,45835094,1789878552,45763,0,0,-9.7456,30.80,0.000,14,1,1,1,1,16
156,45836094,1789878553,45764,0,0,-9.7715,29.80,0.000,14,1,1,1,1,16
157,45837094,1789878554,45765,0,0,-9.7922,29.80,0.000,14,1,1,1,1,16
158,45838094,1789878555,45766,0,0,-9.7837,29.80,0.000,14,1,1,1,1,16
159,45839094,1789878556,45767,0,0,-9.7770,30.80,0.000,14,1,1,1,1,15
160,45840094,1789878557,45768,0,0,-9.7966,30.80,0.000,14,1,1,1,1,15
161,45841094,1789878558,45769,0,0,-9.7873,30.80,0.000,14,1,1,1,1,15
162,45842094,1789878559,45770,0,0,-9.8048,29.80,0.000,14,1,1,1,1,15
163,45843094,1789878560,45771,0,0,-9.7939,30.80,0.000,14,1,1,1,1,17
164,45844094,1789878561,45772,0,0,-9.7851,29.80,0.000,14,1,1,1,1,17
165,45845094,1789878562,45773,0,0,-9.8031,30.80,0.000,14,1,1,1,1,17
166,45846094,1789878563,45774,0,0,-9.7925,30.80,0.000,14,1,1,1,1,17
167,45847094,1789878564,45775,0,0,-9.7840,30.80,0.000,14,1,1,1,1,17
168,45848094,1789878565,45776,0,0,-9.7772,30.80,0.000,14,1,1,1,1,17
169,45849094,1789878566,45777,0,0,-9.7967,30.80,0.000,14,1,1,1,1,16
170,45850094,1789878567,45778,0,0,-9.7874,29.80,0.000,14,1,1,1,1,16
171,45851094,1789878568,45779,0,0,-9.7799,30.80,0.000,14,1,1,1,1,16
172,45852094,1789878569,45780,0,0,-9.7739,29.80,0.000,14,1,1,1,1,15
173,45853093,1789878570,45781,0,0,-9.7691,30.80,0.000,14,1,1,1,1,15
174,45854093,1789878571,45782,0,0,-9.7903,30.80,0.000,14,1,1,1,1,15
175,45855094,1789878572,45783,0,0,-9.7823,30.80,0.000,14,1,1,1,1,16
176,45856094,1789878573,45784,0,0,-9.7758,29.80,0.000,14,1,1,1,1,16
177,45857093,1789878574,45785,0,0,-9.7706,30.80,0.000,14,1,1,1,1,17
178,45858093,1789878575,45786,0,0,-9.7915,30.80,0.000,14,1,1,1,1,16
179,45859094,1789878576,45787,0,0,-9.7832,30.80,0.000,14,1,1,1,1,16
180,45860093,1789878577,45788,0,0,-9.7766,29.80,0.000,14,1,1,1,1,16
181,45861093,1789878578,45789,0,0,-9.7713,30.80,0.000,14,1,1,1,1,16
182,45862093,1789878579,45790,0,0,-9.7170,29.80,0.000,14,1,1,1,1,16
183,45863093,1789878580,45791,0,0,-9.7486,29.80,0.000,14,1,1,1,1,16
184,45864093,1789878581,45792,0,0,-9.7489,29.80,0.000,14,1,1,1,1,16
185,45865093,1789878582,45793,0,0,-9.7491,29.80,0.000,14,1,1,1,1,15
186,45866093,1789878583,45794,0,0,-9.7493,29.80,0.000,14,1,1,1,1,15
187,45867093,1789878584,45795,0,0,-9.7744,30.80,0.000,14,1,1,1,1,15
188,45868093,1789878585,45796,0,0,-9.7695,30.80,0.000,14,1,1,1,1,15
189,45869093,1789878586,45797,0,0,-9.7656,29.80,0.000,14,1,1,1,1,15
190,45870093,1789878587,45798,0,0,-9.8125,29.80,0.000,14,1,1,1,1,15
191,45871094,1789878588,45799,0,0,-9.7750,29.80,0.000,14,1,1,1,1,15
192,45872093,1789878589,45800,0,0,-9.7950,30.80,0.000,14,1,1,1,1,16
193,45873093,1789878590,45801,0,0,-9.7860,30.80,0.000,14,1,1,1,1,16
194,45874093,1789878591,45802,0,0,-9.7788,30.80,0.000,14,1,1,1,1,16
195,45875093,1789878592,45803,0,0,-9.7730,29.80,0.000,14,1,1,1,1,16
196,45876093,1789878593,45804,0,0,-9.7934,30.80,0.000,14,1,1,1,1,16
197,45877093,1789878594,45805,0,0,-9.7847,30.80,0.000,14,1,1,1,1,15
198,45878093,1789878595,45806,0,0,-9.7847,29.80,-0.000,14,1,1,1,1,15
199,45879093,1789878596,45807,0,0,-9.7972,29.80,0.000,14,1,1,1,1,15
200,45880093,1789878597,45808,0,0,-9.7972,30.80,0.000,14,1,1,1,1,16
201,45881093,1789878598,45809,0,0,-9.7802,29.80,0.000,14,1,1,1,1,16
202,45882093,1789878599,45810,0,0,-9.7742,30.80,0.000,14,1,1,1,1,16
203,45883093,1789878600,45811,0,0,-9.7694,29.80,0.000,14,1,1,1,1,16
204,45884093,1789878601,45812,0,0,-9.7655,29.80,0.000,14,1,1,1,1,16
205,45885093,1789878602,45813,0,0,-9.7624,30.80,0.000,14,1,1,1,1,16
206,45886093,1789878603,45814,0,0,-9.7599,29.80,0.000,14,1,1,1,1,16
207,45887093,1789878604,45815,0,0,-9.7579,29.80,0.000,14,1,1,1,1,16
208,45888093,1789878605,45816,0,0,-9.7313,30.80,0.000,14,1,1,1,1,16
209,45889093,1789878606,45817,0,0,-9.6601,29.80,0.000,14,1,1,1,1,16
210,45890093,1789878607,45818,0,0,-9.6781,29.80,0.000,14,1,1,1,1,16
211,45891093,1789878608,45819,0,0,-9.6924,29.80,0.000,14,1,1,1,1,16
212,45892093,1789878609,45820,0,0,-9.7040,30.80,0.000,14,1,1,1,1,16
213,45893093,1789878610,45821,0,0,-9.6882,30.80,0.000,14,1,1,1,1,16
214,45894093,1789878611,45822,0,0,-9.7005,29.80,0.000,14,1,1,1,1,16
215,45895093,1789878612,45823,0,0,-9.7104,30.80,0.000,14,1,1,1,1,16
216,45896093,1789878613,45824,0,0,-9.7183,29.80,0.000,14,1,1,1,1,16
217,45897093,1789878614,45825,0,0,-9.7747,29.80,0.000,14,1,1,1,1,16
218,45898093,1789878615,45826,0,0,-9.7697,29.80,0.000,14,1,1,1,1,16
219,45899093,1789878616,45827,0,0,-9.7658,29.80,0.000,14,1,1,1,1,16
220,45900093,1789878617,45828,0,0,-9.7626,29.80,0.000,14,1,1,1,1,16
221,45901093,1789878618,45829,0,0,-9.8101,29.80,0.000,14,1,1,1,1,16
222,45902093,1789878619,45830,0,0,-9.7981,30.80,0.000,14,1,1,1,1,16
223,45903093,1789878620,45831,0,0,-9.7885,29.80,0.000,14,1,1,1,1,15
224,45904093,1789878621,45832,0,0,-9.8058,30.80,0.000,14,1,1,1,1,15
225,45905093,1789878622,45833,0,0,-9.8446,29.80,0.000,14,1,1,1,1,15
226,45906093,1789878623,45834,0,0,-9.8257,30.80,0.000,14,1,1,1,1,15
227,45907093,1789878624,45835,0,0,-9.8106,30.80,0.000,14,1,1,1,1,16
228,45908093,1789878625,45836,0,0,-9.7734,29.80,0.000,14,1,1,1,1,16
229,45909093,1789878626,45837,0,0,-9.7438,29.80,0.000,14,1,1,1,1,16
230,45910093,1789878627,45838,0,0,-9.7450,29.80,0.000,14,1,1,1,1,16
231,45911093,1789878628,45839,0,0,-9.7460,30.80,0.000,14,1,1,1,1,16
232,45912093,1789878629,45840,0,0,-9.4218,29.80,0.000,14,1,1,1,1,16
233,45913093,1789878630,45841,0,0,-9.4874,29.80,0.000,14,1,1,1,1,16
234,45914093,1789878631,45842,0,0,-9.5400,29.80,0.000,14,1,1,1,1,16
235,45915093,1789878632,45843,0,0,-9.5820,29.80,0.000,14,1,1,1,1,16
236,45916093,1789878633,45844,0,0,-9.6406,29.80,0.000,14,1,1,1,1,16
237,45917093,1789878634,45845,0,0,-9.6875,30.80,0.000,14,1,1,1,1,17
