# clock_trace bin2csv rows=1962 seqEnd=1962 dropped=0
seq,uptimeMs,utcEpoch,ppsCount,residualMs,holdoverMs,freqPpm,tempC,tempCorrPpm,qualityMs,state,ppsFresh,timeValid,tempComp,satellites
62,113239,1789969410,113,0,0,-12.0751,42.80,-0.000,17,1,1,1,1,14
63,114239,1789969411,114,0,0,-12.0601,42.80,-0.000,17,1,1,1,1,14
64,115239,1789969412,115,0,0,-12.0481,42.80,-0.000,17,1,1,1,1,13
65,116239,1789969413,116,0,0,-12.0384,42.80,-0.000,17,1,1,1,1,13
66,117239,1789969414,117,0,0,-12.0308,42.80,-0.000,17,1,1,1,1,13
67,118239,1789969415,118,0,0,-12.0246,42.80,-0.000,17,1,1,1,1,13
68,119239,1789969416,119,0,0,-12.0197,42.80,-0.000,17,1,1,1,1,13
69,120239,1789969417,120,0,0,-12.0407,42.80,-0.000,17,1,1,1,1,13
70,121239,1789969418,121,0,0,-12.0076,42.80,-0.000,17,1,1,1,1,13
71,122239,1789969419,122,0,0,-12.0061,42.80,-0.000,17,1,1,1,1,13
72,123239,1789969420,123,0,0,-12.0049,43.80,-0.000,17,1,1,1,1,14
73,124239,1789969421,124,0,0,-12.0289,42.80,-0.000,17,1,1,1,1,14
74,125239,1789969422,125,0,0,-12.0231,42.80,-0.000,17,1,1,1,1,14
75,126239,1789969423,126,0,0,-12.0185,42.80,-0.000,17,1,1,1,1,14
76,127239,1789969424,127,0,0,-12.0148,42.80,-0.000,17,1,1,1,1,14
77,128239,1789969425,128,0,0,-12.0368,42.80,-0.000,17,1,1,1,1,14
78,129239,1789969426,129,0,0,-12.0795,42.80,-0.000,17,1,1,1,1,14
79,130239,1789969427,130,0,0,-12.0886,42.80,-0.000,17,1,1,1,1,14
80,131239,1789969428,131,0,0,-12.0959,42.80,-0.000,17,1,1,1,1,14
81,132239,1789969429,132,0,0,-12.0267,42.80,-0.000,17,1,1,1,1,14
82,133239,1789969430,133,0,0,-12.0213,42.80,-0.000,17,1,1,1,1,14
83,134239,1789969431,134,0,0,-12.0421,42.80,-0.000,17,1,1,1,1,14
84,135239,1789969432,135,0,0,-12.0587,42.80,-0.000,17,1,1,1,1,14
85,136239,1789969433,136,0,0,-12.0469,42.80,-0.000,17,1,1,1,1,14
86,137239,1789969434,137,0,0,-12.0375,42.80,-0.000,17,1,1,1,1,14
87,138239,1789969435,138,0,0,-12.0300,43.80,-0.000,17,1,1,1,1,14
88,139239,1789969436,139,0,0,-12.0240,42.80,-0.000,17,1,1,1,1,14
89,140239,1789969437,140,0,0,-12.0942,42.80,-0.000,17,1,1,1,1,14
90,141239,1789969438,141,0,0,-12.1004,42.80,-0.000,17,1,1,1,1,14
91,142239,1789969439,142,0,0,-12.0803,42.80,-0.000,17,1,1,1,1,14
92,143239,1789969440,143,0,0,-12.0642,42.80,-0.000,17,1,1,1,1,14
93,144239,1789969441,144,0,0,-12.0514,42.80,-0.000,17,1,1,1,1,14
94,145239,1789969442,145,0,0,-12.0411,42.80,-0.000,17,1,1,1,1,14
95,146239,1789969443,146,0,0,-12.0329,42.80,-0.000,17,1,1,1,1,14
96,147238,1789969444,147,0,0,-12.0263,42.80,-0.000,17,1,1,1,1,14
97,148238,1789969445,148,0,0,-12.0211,42.80,-0.000,17,1,1,1,1,14
98,149241,1789969446,148,0,0,-12.0211,42.80,-0.000,17,1,1,1,1,14
99,150242,1789969447,148,0,501,-12.0211,42.80,-0.000,117,3,0,1,1,14
100,151242,1789969448,148,0,1501,-12.0211,42.80,-0.000,117,3,0,1,1,14
101,152242,1789969449,148,0,2501,-12.0211,42.80,-0.000,117,3,0,1,1,14
102,153242,1789969450,148,0,3501,-12.0211,42.80,-0.000,117,3,0,1,1,14
103,154244,1789969451,148,0,4503,-12.0211,42.80,-0.000,117,3,0,1,1,14
104,155244,1789969452,148,0,5503,-12.0211,42.80,-0.000,117,3,0,1,1,14
105,156244,1789969453,148,0,6503,-12.0211,42.80,-0.000,117,3,0,1,1,14
106,157246,1789969454,148,0,7505,-12.0211,42.80,-0.000,117,3,0,1,1,14
107,158246,1789969455,148,0,8505,-12.0211,42.80,-0.000,117,3,0,1,1,14
108,159246,1789969456,148,0,9505,-12.0211,42.80,-0.000,117,3,0,1,1,14
109,160247,1789969457,148,0,10506,-12.0211,42.80,-0.000,117,3,0,1,1,14
110,161248,1789969458,148,0,11507,-12.0211,42.80,-0.000,117,3,0,1,1,14
111,162248,1789969459,148,0,12507,-12.0211,42.80,-0.000,117,3,0,1,1,14
112,163248,1789969460,148,0,13507,-12.0211,42.80,-0.000,117,3,0,1,1,14
113,164248,1789969461,148,0,14507,-12.0211,42.80,-0.000,117,3,0,1,1,14
114,165248,1789969462,148,0,15507,-12.0211,42.80,-0.000,117,3,0,1,1,14
115,166248,1789969463,148,0,16507,-12.0211,42.80,-0.000,117,3,0,1,1,14
116,167248,1789969464,148,0,17507,-12.0211,42.80,-0.000,117,3,0,1,1,14
117,168250,1789969465,148,0,18509,-12.0211,42.80,-0.000,117,3,0,1,1,14
118,169250,1789969466,148,0,19509,-12.0211,42.80,-0.000,117,3,0,1,1,14
119,170250,1789969467,148,0,20509,-12.0211,43.80,-0.140,118,3,0,1,1,14
120,171251,1789969468,148,0,21510,-12.0211,42.80,-0.000,118,3,0,1,1,14
121,172253,1789969469,148,0,22512,-12.0211,42.80,-0.000,118,3,0,1,1,14
122,173254,1789969470,148,0,23512,-12.0211,42.80,-0.000,118,3,0,1,1,14
123,174254,1789969471,148,0,24513,-12.0211,42.80,-0.000,118,3,0,1,1,14
124,175255,1789969472,148,0,25514,-12.0211,42.80,-0.000,118,3,0,1,1,14
125,176257,1789969473,148,0,26516,-12.0211,42.80,-0.000,118,3,0,1,1,14
126,177257,1789969474,148,0,27516,-12.0211,44.80,-0.280,118,3,0,1,1,14
127,178259,1789969475,148,0,28518,-12.0211,42.80,-0.000,118,3,0,1,1,14
128,179260,1789969476,148,0,29519,-12.0211,42.80,-0.000,118,3,0,1,1,14
129,180261,1789969477,148,0,30520,-12.0211,42.80,-0.000,118,3,0,1,1,14
130,181261,1789969478,148,0,31520,-12.0211,44.80,-0.280,118,3,0,1,1,14
131,182263,1789969479,148,0,32522,-12.0211,43.80,-0.140,118,3,0,1,1,14
132,183263,1789969480,148,0,33522,-12.0211,43.80,-0.140,118,3,0,1,1,14
133,184265,1789969481,148,0,34524,-12.0211,43.80,-0.140,118,3,0,1,1,14
134,185266,1789969482,148,0,35525,-12.0211,42.80,-0.000,118,3,0,1,1,14
135,186266,1789969483,148,0,36525,-12.0211,43.80,-0.140,118,3,0,1,1,14
136,187268,1789969484,148,0,37527,-12.0211,42.80,-0.000,118,3,0,1,1,14
137,188270,1789969485,148,0,38529,-12.0211,42.80,-0.000,118,3,0,1,1,14
138,189271,1789969486,148,0,39529,-12.0211,43.80,-0.140,118,3,0,1,1,14
139,190271,1789969487,148,0,40530,-12.0211,42.80,-0.000,119,3,0,1,1,14
140,191274,1789969488,148,0,41533,-12.0211,44.80,-0.280,119,3,0,1,1,14
141,192274,1789969489,148,0,42533,-12.0211,42.80,-0.000,119,3,0,1,1,14
142,193274,1789969490,148,0,43533,-12.0211,43.80,-0.140,119,3,0,1,1,14
143,194274,1789969491,148,0,44533,-12.0211,42.80,-0.000,119,3,0,1,1,14
144,195275,1789969492,148,0,45534,-12.0211,42.80,-0.000,119,3,0,1,1,14
145,196275,1789969493,148,0,46534,-12.0211,42.80,-0.000,119,3,0,1,1,14
146,197276,1789969494,148,0,47535,-12.0211,42.80,-0.000,119,3,0,1,1,14
147,198277,1789969495,148,0,48536,-12.0211,42.80,-0.000,119,3,0,1,1,14
148,199277,1789969496,148,0,49535,-12.0211,42.80,-0.000,119,3,0,1,1,14
149,200277,1789969497,148,0,50536,-12.0211,42.80,-0.000,119,3,0,1,1,14
150,201277,1789969498,148,0,51536,-12.0211,42.80,-0.000,119,3,0,1,1,14
151,202278,1789969499,148,0,52537,-12.0211,42.80,-0.000,119,3,0,1,1,14
152,203279,1789969500,148,0,53538,-12.0211,42.80,-0.000,119,3,0,1,1,14
153,204279,1789969501,148,0,54538,-12.0211,42.80,-0.000,119,3,0,1,1,14
154,205280,1789969502,148,0,55539,-12.0211,42.80,-0.000,119,3,0,1,1,14
155,206281,1789969503,148,0,56540,-12.0211,42.80,-0.000,119,3,0,1,1,14
156,207281,1789969504,148,0,57540,-12.0211,42.80,-0.000,119,3,0,1,1,14
157,208282,1789969505,148,0,58541,-12.0211,42.80,-0.000,119,3,0,1,1,14
158,209282,1789969506,148,0,59541,-12.0211,42.80,-0.000,119,3,0,1,1,14
159,210284,1789969507,148,0,60543,-12.0211,42.80,-0.000,120,3,0,1,1,14
160,211285,1789969508,148,0,61544,-12.0211,42.80,-0.000,120,3,0,1,1,14
161,212285,1789969509,148,0,62544,-12.0211,42.80,-0.000,120,3,0,1,1,14
162,213285,1789969510,148,0,63544,-12.0211,42.80,-0.000,120,3,0,1,1,14
163,214286,1789969511,148,0,64545,-12.0211,42.80,-0.000,120,3,0,1,1,14
164,215286,1789969512,148,0,65545,-12.0211,42.80,-0.000,120,3,0,1,1,14
165,216286,1789969513,148,0,66544,-12.0211,42.80,-0.000,120,3,0,1,1,14
166,217288,1789969514,148,0,67547,-12.0211,42.80,-0.000,120,3,0,1,1,14
167,218288,1789969515,148,0,68547,-12.0211,42.80,-0.000,120,3,0,1,1,14
168,219290,1789969516,148,0,69548,-12.0211,42.80,-0.000,120,3,0,1,1,14
169,220291,1789969517,148,0,70550,-12.0211,42.80,-0.000,120,3,0,1,1,14
